Date,Open,High,Low,Close
21.09.2015,9826.10,9952.00,9820.30,9856.80
18.09.2015,10048.60,10050.30,9801.70,9847.20
17.09.2015,10015.00,10141.80,9988.90,10106.60
16.09.2015,9869.50,9983.00,9843.00,9976.80
15.09.2015,9708.30,9834.80,9620.70,9782.50
14.09.2015,9764.80,9836.90,9685.60,9696.40
11.09.2015,9877.00,9886.00,9722.70,9737.90
10.09.2015,9929.20,9989.70,9840.00,9859.00
09.09.2015,10078.80,10193.00,10031.10,10037.80
08.09.2015,9860.30,9987.70,9857.60,9866.20
07.09.2015,9893.50,9931.80,9796.60,9805.40
04.09.2015,9947.00,9950.80,9737.90,9821.80
03.09.2015,10023.80,10118.70,9945.90,10042.40
02.09.2015,10009.70,10071.10,9855.80,9938.30
01.09.2015,10136.10,10148.50,9921.10,9992.80
31.08.2015,10297.20,10319.10,10190.40,10259.00
28.08.2015,10322.70,10352.90,10235.70,10352.90
27.08.2015,10229.60,10357.30,10176.20,10290.20
26.08.2015,10005.80,10132.90,9875.40,9984.50
25.08.2015,9880.40,10168.10,9819.90,10115.40
24.08.2015,9973.70,10078.00,9502.40,9756.60
21.08.2015,10434.40,10576.20,10270.20,10271.70
20.08.2015,10748.20,10797.50,10564.80,10587.00
19.08.2015,10843.70,10905.30,10776.80,10782.40
18.08.2015,10878.00,10952.20,10846.10,10897.90
17.08.2015,10983.10,11023.30,10774.40,10900.30
14.08.2015,10952.40,11034.30,10851.60,10879.30
13.08.2015,11030.80,11057.10,10938.50,10947.90
12.08.2015,11054.40,11054.40,10840.30,10880.10
11.08.2015,11278.50,11319.10,11137.80,11152.30
10.08.2015,11239.50,11330.00,11129.30,11311.70
07.08.2015,11244.90,11264.00,11176.80,11178.20
06.08.2015,11263.60,11327.00,11239.40,11253.60
05.08.2015,11195.00,11302.90,11184.70,11279.50
04.08.2015,11240.30,11244.80,11098.50,11150.50
03.08.2015,11180.60,11288.50,11141.20,11265.90
31.07.2015,11198.40,11200.90,11039.50,11180.70
30.07.2015,11347.70,11362.40,11117.60,11168.60
29.07.2015,11310.00,11325.60,11185.80,11282.90
28.07.2015,11179.50,11294.00,11168.10,11252.40
27.07.2015,11252.70,11264.20,11136.70,11145.40
24.07.2015,11415.40,11460.30,11300.90,11309.30
23.07.2015,11552.00,11553.60,11429.40,11441.90
22.07.2015,11389.20,11525.40,11365.50,11484.30
21.07.2015,11571.90,11579.70,11432.10,11458.60
20.07.2015,11506.90,11612.60,11499.40,11556.10
17.07.2015,11551.00,11551.00,11472.60,11480.70
16.07.2015,11405.20,11536.30,11398.60,11510.60
15.07.2015,11262.00,11360.40,11234.30,11335.70
14.07.2015,11220.10,11258.30,11140.80,11258.30
13.07.2015,11178.20,11253.50,11121.80,11224.20
10.07.2015,10958.20,11069.80,10896.90,11036.10
09.07.2015,10479.40,10761.10,10463.60,10706.40
08.07.2015,10364.70,10478.70,10316.40,10430.30
07.07.2015,10554.90,10588.50,10332.10,10346.00
