Date,Open,High,Low,Close
16.12.2015,4633.85,4673.54,4582.87,4664.57
15.12.2015,4607.20,4636.77,4592.72,4597.33
14.12.2015,4535.56,4571.57,4478.25,4570.16
11.12.2015,4583.08,4600.91,4534.05,4537.56
10.12.2015,4627.77,4674.00,4619.98,4643.05
09.12.2015,4674.80,4698.25,4595.01,4622.14
08.12.2015,4646.43,4708.47,4643.65,4694.77
07.12.2015,4718.55,4720.82,4671.87,4693.62
04.12.2015,4621.48,4722.39,4612.11,4716.12
03.12.2015,4704.20,4705.78,4579.91,4606.76
02.12.2015,4720.27,4739.75,4680.06,4686.22
01.12.2015,4685.74,4716.16,4682.40,4716.16
30.11.2015,4692.57,4695.06,4654.53,4664.51
27.11.2015,4680.44,4689.58,4665.92,4680.47
25.11.2015,4674.23,4683.55,4666.24,4672.88
24.11.2015,4645.52,4682.13,4621.63,4669.41
23.11.2015,4689.98,4706.62,4655.60,4674.79
20.11.2015,4680.51,4691.59,4674.61,4686.36
19.11.2015,4657.61,4678.02,4648.94,4655.36
18.11.2015,4586.24,4657.63,4580.72,4653.44
17.11.2015,4571.55,4598.27,4554.89,4565.82
16.11.2015,4494.56,4566.03,4486.09,4565.47
13.11.2015,4566.12,4575.80,4499.15,4502.14
12.11.2015,4617.78,4639.26,4588.08,4588.93
11.11.2015,4657.19,4677.78,4631.06,4636.94
10.11.2015,4628.83,4647.32,4616.71,4641.73
09.11.2015,4687.35,4694.27,4627.12,4655.52
06.11.2015,4695.88,4710.47,4665.41,4707.23
05.11.2015,4718.51,4731.56,4678.79,4702.90
04.11.2015,4729.07,4737.12,4698.84,4717.55
03.11.2015,4692.03,4735.31,4685.98,4719.05
02.11.2015,4658.79,4707.77,4652.45,4703.92
30.10.2015,4676.30,4681.23,4648.83,4648.83
29.10.2015,4657.78,4678.20,4653.00,4670.77
28.10.2015,4649.10,4678.58,4609.93,4678.58
27.10.2015,4617.60,4645.94,4617.44,4639.23
26.10.2015,4621.14,4638.75,4606.66,4630.85
23.10.2015,4623.72,4645.97,4598.74,4624.09
22.10.2015,4451.32,4504.70,4438.60,4503.22
21.10.2015,4462.22,4464.73,4409.90,4413.53
20.10.2015,4454.62,4463.11,4424.34,4438.18
19.10.2015,4428.06,4464.78,4420.80,4462.07
16.10.2015,4419.95,4438.75,4405.88,4438.62
15.10.2015,4361.98,4418.25,4357.22,4418.22
14.10.2015,4356.82,4373.71,4328.96,4346.92
13.10.2015,4354.06,4399.93,4349.18,4352.94
12.10.2015,4378.64,4389.77,4363.96,4382.56
09.10.2015,4355.24,4378.26,4341.51,4370.01
